Key Audit Matter,How the Matter was addressed
Investment properties,Our audit procedures to address the valuation of investment
"We identified valuation of the Group’s investment properties
as a key audit matter because of the significance of investment
properties to the Group’s total assets and the significance
of changes in fair value of investment properties to the
Group’s profit before taxation and because the valuation
of investment properties can be inherently subjective and
requires significant management judgement and estimation
which increases the risk of error or potential management
bias, particularly given the number and the diverse nature
and location of the investment properties and investment
properties under development held by the Group.","properties and investment properties under development
included the following:
• Obtaining and inspecting the valuation reports prepared by
the external property valuers engaged by the Group and
on which the directors’ assessment of the fair values of
investment properties and investment properties under
development was based;
• Assessing the external property valuers qualifications,
experience and expertise in the properties being valued
and considering their objectivity and independence."
"Goodwill recognition policy
The Group had goodwill amounting to Kshs. 94 million.
Goodwill arose when the Group assumed control of subsidiary
companies.
Goodwill with an indefinite useful life is subject to impairment
assessments annually and when there is an indication of
impairment.
In carrying out the impairment assessments, significant
judgements are required to estimate the future cash
flows of the Group’s businesses and to determine the key
assumptions, including the growth rate used in the cash flow
projections, the EBITDA multiples used in determining the
terminal values, and the discount rates applied to bring the
future cash flows back to their present values.
Based on the results of these impairment assessments
conducted by the Group, it is believed that there is sufficient
headroom and therefore there is no impairment of goodwill.
This conclusion is based on the recoverable amounts
exceeding the book amount of the cash generating units. The
recoverable amount was determined based on the value in
use, using the discounted cash flow.","We carried the following procedures to evaluate the Group’s
assessments:
• Assessing the appropriateness of the valuation
methodologies used;
• Assessing the reasonableness of key assumptions based
on our knowledge of the business;
• Testing whether the support for the goodwill recovery
was approved by those charged with governance, were
consistent with confirmed plans, and consistent with
our understanding of the economic developments in the
industry.
• We found the assumptions adopted in relation to these
impairment assessments to be supportable, reasonable
based on available evidence and in line with our
expectations."
