12,"634,109","649,826",55
13,"26,087","13,332",-
14,"23,924","24,916",-
15,-,-,-
16,"93,594","93,594",-
17,-,-,"246,206"
18,"4,735","4,735",-
19,"49,700","49,700","49,700"
20 (a),"134,338","133,057","2,983"
21 (a),"269,946","291,644","342,466"
21 (c),"18,113","30,796","23,502"
,"1,254,546","1,291,600","664,912"
21 (a),"17,056","4,036","3,016"
22,"122,446","140,253",-
23,"167,822","132,012","2,805"
10 (c),"7,131","6,489",-
24,"78,833","64,406",26
,"393,288","347,196","5,847"
,"1,647,834","1,638,796","670,759"
