Column,Column,"45,192
21,483
59,280",Column
22 (b),"48,840",,"48,840"
21 (b),"22,725",,-
27,"64,922",,"45,797"
,"136,487","125,955","94,637"
,,"-
4,832
34,810
168,315
5,224
18,726",
22 (b),-,,"3,419"
22 (c),"27,064",,"5,389"
27,"21,714",,96
28,"131,902",,"2,987"
29,"5,224",,"5,224"
11 (c),"20,620",,"14,149"
,"206,524","231,907","31,264"
,"1,626,599","1,658,883","682,537"
