Column,Column,"48,840
22,725
64,922",Column
22 (b),"56,153",,"56,153"
21 (b),"26,827",,-
27,"106,823",,"48,382"
,"189,803","136,487","104,535"
,,"-
27,064
21,714
131,902
5,224
20,620",
22 (b),-,,"3,719"
22 (c),"27,063",,"5,735"
27,"11,290",,-
28,"139,229",,"2,402"
29,"5,224",,"5,224"
11 (c),"18,193",,"14,149"
,"201,000","206,524","31,229"
,"1,705,872","1,626,599","674,730"
