Company,Column,Column,Column
Restated,,,
2010,,2009,
Kshs '000,,Kshs '000,
,328,,553
,-,,-
,109,,194
,"243,366",,"221,712"
,-,,"21,654"
,"75,927",,"95,121"
,-,,85
,"48,909",,"51,403"
,"368,639",,"390,722"
,-,,-
,-,,-
,397,,"1,004"
,"210,195",,"145,998"
,48,,"2,489"
,311,,370
,"210,951",,"149,861"
,-,,-
,"579,590",,"540,583"
,"200,000",,"200,000"
,"255,985",,"255,985"
,-,,-
,"60,370",,"56,024"
,"4,000",,"4,000"
,"520,355",,"516,009"
,-,,-
,-,,-
,"1,973",,-
,-,,-
,-,,-
,"1,973",,-
,"14,279",,"13,049"
,"38,308",,"7,693"
,-,,-
,-,,-
,"3,620",,"2,220"
,"1,055",,"1,612"
,"57,262",,"24,574"
,"59,235",,"24,574"
,"579,590",,"540,583"
