13 Investment Properties,Column,Column,Column
,"13,332","76,594",-
,-,"(56,873)",-
,"13,332","19,721",-
,"13,464",-,-
,-,-,-
,(709),"(1,654)",-
,-,"(4,735)",-
,"26,087","13,332",-
