Column,Column,"(19,497)
(13,198)
9,766",Column
,"(22,071)",,"(1,426)"
,"(23,772)",,"1,426"
,"(9,102)",,"(6,958)"
,"(54,945)","(22,929)","(6,958)"
,,"16,843
(2,416)
64,406",
,"(14,226)",,(107)
,"(2,915)",,-
,"78,833",,26
25,"61,692","78,833",(81)
