Column,"(133,057)
(1,281)",Column
"(134,338)",,"(2,983)"
"(3,281)",,-
"(137,619)","(134,338)","(2,983)"
,"20,179
1,304",
"21,483",,-
"1,242",,-
"22,725","21,483",-
