Key Audit Matters,How the Matter was addressed:
Revenue recognition – Accuracy of revenue recorded,We assessed the company’s compliance with revenue
"given the complexity of products and systems
The determination of the nature and timing of revenue
recognition is complicated by the multiple pricing models for
the various jurisdictions.
Significant effort was spent auditing the revenue recognized
by the Group due to the risk of incorrect timing of revenue
recognition and related estimates. According to the financial
statement accounting principle revenue is recognized at an
amount that reflect the consideration to which the company
expects to be entitled in exchange for transferring goods or
services to customer. The revenue recognition occurs at a
point in time when the control of goods is transferred to the
customer according to the delivery terms. Due to the variation
of terms and the pressure from management to achieve
performance targets, there is risk of material error.","recognition accounting policies against applicable accounting
standards. We also assessed revenue recognition processes
and practices. We tested the effectiveness of the key controls
around revenue by testing the accuracy of cut-off. We
assessed the adequacy of the company’s disclosures relating
to revenue."
"Significant Component – Olympia Capital Corporation
Limited (OCCL)
A component is identified as that individual subsidiary in
the group which is of significance financial contribution to
the group and is likely to include significant risks of material
misstatement of the group financial accounts (IAS 600).
A concentration risk exists as consolidated 100% of Group
performance is from OCCL and one component audited
subsidiaries. There is a risk that the component auditor may
not detect misstatements in the financial information.","We reviewed the account balances, classes of transactions
and disclosures affected by the likely significant risks and
requested the subsidiary’s component auditor to perform, an
audit of only those account balances, classes of transactions
and disclosures that are likely to have a significant risk of
material misstatement of the group financial statements.
Among other balances we identified balance sheet items
that can have a significant risk of inventory obsolescence.
To check on potentially obsolete inventory, we requested the
component auditor to perform specified audit procedures on
the valuation of inventory at OCCL that holds a large volume."
"Investment properties
We identified valuation of the Group’s investment properties
as a key audit matter because of the significance of investment
properties to the Group’s total assets and the significance
of changes in fair value of investment properties to the
Group’s profit before taxation and because the valuation
of investment properties can be inherently subjective and
requires significant management judgement and estimation
which increases the risk of error or potential management
bias, particularly given the number and the diverse nature
and location of the investment properties and investment
properties under development held by the Group.","Our audit procedures to address the valuation of investment
properties and investment properties under development
included the following:
• Obtaining and inspecting the valuation reports prepared
by the external property valuers engaged by the Group
and on which the directors’ assessment of the fair values
of investment properties and investment properties under
development was based;
• Assessing the external property valuers qualifications,
experience and expertise in the properties being valued
and considering their objectivity and independence;"
