Nationality,Shareholders,Shares held,% Shareholding
Local Individual Investors,"97,543","446,198,235",15.94
Local Institutional Investors,"5,342","2,211,275,932",78.98
Foreign Investors,454,"142,322,105",5.08
,"103,339","2,799,796,272",100.00
