Regulator,Mandate,Areas of Engagement
Insurance Regulatory Authority (IRA),"The IRA is mandated to regulate, supervise and
develop the insurance industry in Kenya.","Quarterly Returns, Inspection of opera-
tions and Investments"
Capital Markets Authority (CMA),"The CMA is a regulating body charged with
the responsibility of supervising, licensing and
monitoring the activities of listed companies
licensed under the Capital Markets Act.",Corporate Governance
Kenya Revenue Authority (KRA),"The KRA is charged with the responsibility of
collecting revenue on behalf of the Govern-
ment of Kenya.",Taxation
National Environment Management,"NEMA is the government agency tasked with
management of the environment and environ-
mental policy of the country.",Environmental Impact
