COMPANY STATEMENT OF FINANCIAL POSITION AS AT 30TH JUNE 2024,Unaudited,Audited
,2024,2023
,Total,Total
,KSh ’000,KSh ’000
,"51,725","51,033"
,"12,724,585","12,702,500"
,"44,511","44,511"
,"2,761,398","2,761,398"
,"10,407,449","10,407,449"
,"41,694","41,235"
,"842,159","855,545"
,"362,097","355,505"
,"1,150,259","1,041,400"
,"44,763","44,747"
,"23,964,742","20,230,436"
,"16,057","12,055"
,"1,103,285","611,491"
,"222,214",-
,"122,464","109,913"
,"328,747","317,329"
,"8,365,768","12,291,563"
,"196,214","267,110"
,"62,750,131","62,145,220"
,"6,999,491","6,999,491"
,"26,308","26,308"
,"(853,984)","(965,598)"
,"3,490,332","3,490,332"
,"9,010,019","8,569,566"
,"28,788,601","28,052,548"
,"47,460,767","46,172,647"
