Unaudited,Audited
Jun-25,Dec-24
KSh ‘000,KSh ‘000
"(1,072,296)","1,682,714"
"100,005","146,247"
"2,085,964","4,501,757"
"(1,199,896)","(2,760,665)"
"(86,223)","3,570,053"
"(25,483)","(9,006)"
"(8,817)","(5,358)"
"(3,225)","(23,145)"
0,"(12,284)"
"(37,525)","(49,793)"
-,"(839,939)"
-,"(839,939)"
"(113,733)","2,680,321"
"7,450,706","5,144,032"
"(396,856)","(373,647)"
"6,940,117","7,450,706"
