"Long term2
Business
2022
KShs ’000",Column,"Restated
Total
2021
KShs ’000"
,"21,775,967
(1,260,165)
(661,743)",
"2,240,479",,"17,871,081"
"(131,523)",,"(30,361)"
"(97,338)",,"(658,889)"
,"19,854,059",
"2,011,618",,"17,181,831"
,"2,817,944
778,696
36,338
(92,153)
123,420
551,107",
"983,711",,"2,665,585"
"111,628",,"895,593"
"4,644",,"27,425"
"8,832",,"(116,642)"
-,,"57,858"
-,,"404,714"
,"24,069,411",
"3,120,433",,"21,116,364"
,"(13,182,680)
147,779",
"(1,639,787)",,"(10,250,170)"
"76,992",,"230,787"
,"(13,034,901)",
"(1,562,795)",,"(10,019,383)"
,"(5,315,862)
(1,515,843)
(245,200)",
"(539,441)",,"(4,597,547)"
"(155,962)",,"(1,861,926)"
-,,"(571,163)"
,"(20,111,806)",
"(2,258,198)",,"(17,050,019)"
,"3,957,605
(941,205)",
"862,235",,"4,066,345"
"(139,001)",,"(1,047,094)"
"723,234","3,016,400","3,019,251"
,"4,705
41,099
(48,392)
(78,206)
603,350
(106,452)",
-,,"8,524"
-,,"26,509"
,,-
,,-
-,,"60,828"
-,,"(4,549)"
-,,"81,219"
-,,"11,026"
-,"416,104","183,557"
,"3,432,504",
"723,234",,"3,202,808"
,1.08,1.08
