"Short term4
Business
2022
KShs ’000",Column,"Total
2022
KShs ’000",Column,"Restated
Total
1.1.2021
KShs ’000"
,"500,000
-
(80,063)
-
8,131,318
-",,"6,999,491
28,992
(492,965)
744,887
7,408,085
21,988,223",
"6,499,491",,"6,999,491",,"6,999,491"
"33,697",,"33,697",,"20,468"
"(645,950)",,"(726,013)",,"(560,270)"
"1,348,236",,"1,348,236",,"663,668"
-,,"8,131,318",,"6,189,289"
"24,042,509",,"24,042,509",,"20,721,218"
"31,277,983","8,551,255","39,829,238","36,676,713","34,033,864"
,"-
35,751
1,621,748
-
-
-
-
-
502,972
435,356
-
133,997
-
-
-
177,878
6,579,364
-
4,482,916
-
6",,"41,489
112,803
12,250,000
6,770,334
2,630,947
194,248
780,537
45,329
1,023,586
-
368,638
864,158
55,558
525,962
25,301
1,202,463
18,243,649
18,406
7,677,637
-
144,402",
"66,580",,"66,580",,"59,150"
"21,912",,"57,663",,"297,764"
"10,783,252",,"12,405,000",,"12,175,000"
"7,823,043",,"7,823,043",,"5,761,432"
"2,761,398",,"2,761,398",,"2,421,540"
"201,623",,"201,623",,"209,674"
"743,491",,"743,491",,"765,636"
"45,329",,"45,329",,-
"1,130,213",,"1,633,185",,"6,273,565"
"7,091,168",,"7,526,524",,-
"310,500",,"310,500",,"127,338"
"1,097,410",,"1,231,407",,"654,771"
"104,168",,"104,168",,"65,311"
"479,543",,"479,543",,"465,515"
-,,-,,-
"976,193",,"1,154,071",,"1,186,121"
"12,692,211",,"19,271,575",,"17,160,253"
"18,912",,"18,912",,"14,152"
"4,712,380",,"9,195,296",,"7,585,300"
"1,452,394",,"1,452,394",,-
"95,090",,"95,096",,"136,934"
"52,606,810","13,969,988","66,576,798","52,975,447","55,359,456"
,"1,298,214
-
176,099
338,885
3,143,639
-
-
-
-
461,896",,"1,254,757
9,156,159
221,268
-
1,552,244
49,000
134,940
-
588,157
3,342,209",
-,,"1,298,214",,"2,721,542"
"9,454,900",,"9,454,900",,"8,646,523"
"867,040",,"1,043,139",,"5,262,798"
"6,018,207",,"6,357,092",,-
-,,"3,143,639",,"1,264,854"
"19,578",,"19,578",,"175,911"
"252,887",,"252,887",,"28,454"
"29,525",,"29,525",,"29,858"
"546,212",,"546,212",,"603,212"
"4,140,478",,"4,602,374",,"2,592,440"
"21,328,827","5,418,733","26,747,560","16,298,734","21,325,592"
"31,277,983","8,551,255","39,829,238","36,676,713","34,033,864"
