Total,Total
2017,2016
Ksh ’000,Ksh ’000
"14,827,296","13,244,591"
"(600,239)","46,891"
"(547,481)","(604,722)"
"13,679,576","12,686,760"
"3,165,314","3,079,298"
"98,416","36,187"
"672,077","813,513"
"70,282","54,321"
"504,069","361,159"
"18,189,734","17,031,238"
"(8,110,686)","(7,013,734)"
"512,144","333,216"
"(7,598,542)","(6,680,518)"
"(3,928,700)","(3,635,256)"
"(1,709,036)","(1,832,360)"
"(394,905)","(665,018)"
"(13,631,183)","(12,813,152)"
"4,558,551","4,218,086"
"(981,211)","(930,802)"
"3,577,340","3,287,284"
"11,522","2,431"
"(36,882)","112,470"
"(258,669)","(209,228)"
"315,208","(535,438)"
"47,323","(6,952)"
-,(780)
"(43,209)","102,440"
"19,113","(26,833)"
"54,406","(561,890)"
"3,631,746","2,725,394"
5.11,4.70
