Column,Valuation Technique,Significant unobservable inputs,Range (weighted average)
Investment properties,Open market basis,Price per acre in a similar location,KShs 500 million - KShs 800 million
,,Discount rate,7.25-9.25%
,"Discounted cash flow
method","Rental income per square meter
Estimated costs associated with main-
taining the building",KShs 130-KShs 250 per square metre
