CaTeGorY,Column,"DIreCTor
FeeS",Column,ToTaL
,,Ksh.,,Ksh.
"Chairman, Non-
Executive",,"600,000",,"2,716,000"
"Managing
Director",,-,,"21,114,000"
Non -Executive,,"600,000",,"1,991,800"
Non -Executive,,"600,000",,"1,786,000"
Non -Executive,,"600,000",,"1,636,000"
Non -Executive,,"600,000",,"1,774,000"
Non -Executive,,"600,000",,"1,676,000"
Non -Executive,,"600,000",,"1,922,000"
Non -Executive,,"321,370",,"1,027,370"
Non -Executive,,"321,370",,"1,069,370"
Non -Executive,,-,,"810,000"
Non -Executive,,"600,000",,"600,000"
Non -Executive,,"277,945",,"942,445"
Non -Executive,,"277,945",,"779,945"
,"20,994,000","5,998,630","12,852,300","39,844,930"
