Carrying,No stated,Contractual cash flows (undiscounted),Column,Column
amount,maturity,0-1 years,1-5 years,>5 years
,"-
-
2,107,855
-
202,231
3,988,095
63,438
215,653
184,420
-
-",,"4,922,054
482,696
-
-
-
-
-
-
-
33,461
-",
"13,521,865",,"49,547",,"15,880,141"
"482,696",,-,,-
"2,107,855",,-,,-
"1,040,975",,-,,"1,974,784"
"202,231",,-,,-
"3,988,095",,-,,-
"63,438",,-,,-
"215,653",,-,,-
"184,420",,-,,-
"658,423",,"39,435",,"585,527"
"3,245,755",,"3,245,755",,-
"25,711,406","6,761,692","3,334,737","5,438,211","18,440,452"
,"480,676
599,352",,"-
-",
"480,676",,-,,-
"599,352",,-,,-
"1,080,028","1,080,028",-,-,-
,"2,392,423
5,319,405",,"-
-",
"2,392,423",,-,,-
"5,319,405",,-,,-
"7,711,828","7,711,828",-,-,-
"16,919,550","(2,030,164)","3,334,737","5,438,211","18,440,452"
