Audited,Audited
2021,2020
KShs ’000,KShs ’000
"1,437,956","1,010,730"
"2,865","11,620"
"2,121,115","2,058,283"
"28,169","25,474"
"484,218","555,126"
"25,497","24,075"
"(819,074)","(45,039)"
"3,280,746","3,640,269"
"(191,642)","(131,403)"
"(4,566)","(34,989)"
"(4,043)","(15,577)"
"(2,381,065)","(2,692,338)"
"1,118,234","2,675,246"
"(19,249)","(27,134)"
"63,735","10,255"
0,"155,512"
"(45,200)",0
"83,297","88,712"
"(114,938)",0
"(503,419)",0
"(1,998,856)","28,284"
"(559,959)","(279,980)"
"721,931","3,388,573"
"10,759,878","7,371,305"
-,-
"11,481,809","10,759,878"
