"Long term1
Business
2022
KShs ’000",Column,"Restated
Total
2021
KShs ’000"
,"24,979,951
(1,594,586)
(1,239,923)",
"2,280,174",,"20,296,195"
"(143,540)",,"(97,618)"
"(97,338)",,"(1,162,210)"
"2,039,296","22,145,442
2,964,997
778,696
257,051
(92,153)
72,023
551,107","19,036,367"
"927,270",,"2,762,092"
"111,628",,"895,593"
"32,850",,"136,630"
"8,832",,"(116,642)"
-,,"58,323"
-,,"404,714"
"3,119,876","26,677,163","23,177,077"
,"(14,449,402)
582,963",
"(1,642,398)",,"(10,875,525)"
"76,992",,"230,787"
"(1,565,406)","(13,866,439)","(10,644,738)"
,"(6,140,460)
(1,754,927)
(329,029)",
"(539,666)",,"(5,259,613)"
"(160,190)",,"(2,095,804)"
-,,"(909,370)"
"(2,265,262)","(22,090,855)","(18,909,525)"
"854,614","4,586,308
(968,333)","4,267,552"
"(143,007)",,"(1,112,248)"
"711,607","3,617,975","3,155,304"
,"4,705
41,099
(48,392)
(78,205)
(77,884)
603,350
(106,452)",
-,,"8,524"
-,,"26,509"
-,,"60,828"
-,,"(4,549)"
-,,"50,241"
-,,"81,219"
-,,"11,026"
-,"338,221","233,798"
"711,607","3,956,196","3,389,102"
,1.29,
,,1.13
