DIRECTOR,CATEGORY,"GROSS
PAYMENTS",DIRECTOR FEES,ALLOWANCES,TOTAL
,,KShs,KShs,KShs,KShs
Jennifer Karina,"Chairman,
Non-Executive",--,"1,440,000","1,275,048","2,715,048"
Jadiah Mwarania,"Managing Direc-
tor","56,668,049",-,"569,097","57,237,146"
Michael O Monari,Non -Executive,,"1,920,000","1,056,600","2,976,600"
James Kirika,Non -Executive,-,"480,000","652,990","1,132,990"
David Muthusi,Non -Executive,-,"960,000","795,500","1,755,500"
Jasper Mugambi,Non -Executive,-,"1,904,769","1,101,246","3,006,015"
Peter Ole Nkuraiya,Non -Executive,-,"1,912,953","1,667,463","3,580,416"
Nasra Ibrahim Ibren,Non -Executive,-,"1,912,953","1,403,598","3,316,551"
Thamuda Hassan,Non -Executive,-,"1,440,000","1,117,768","2,557,768"
Eric Gumbo,Non -Executive,-,"1,904,769","722,948","2,627,717"
"Cabinet Secretary – The
National Treasury",Non -Executive,-,"960,000",-,"960,000"
Chiboli Shakaba,Non -Executive,-,"480,000","1,150,000","1,630,000"
Felix Okatch,Non -Executive,-,"960,000","559,000","1,519,000"
TOTAL,,"56,668,049","16,275,444","12,071,258","85,014,751"
