Effect on,Column,Effect on
"equity
KShs’000",,"equity
KShs’000"
,"519,312
(519,312",
"719,816",,"363,518"
"(719,816)",,"(363,518)"
"673,759","544,454
(544,454)","381,118"
"(673,759)",,"(381,118)"
