New and Amendments to standards,"Effective for annual periods beginning on or
after"
IFRS 17 – insurance contracts,"Annual periods beginning on or after 1 January
2023"
"Amendments to IAS 10 and IAS 28 Sale or Contribution of Assets
between an investor and its Associate or Joint Venture","Yet to be set, however earlier application per-
mitted"
"Amendments to IAS 1- Classification of Liabilities as Current or
Non-current","Annual periods beginning on or after 1 January
2023"
"Amendments to IAS 1 and IFRS
Practice Statement 2 - Disclosure of Accounting Policies","Annual periods beginning on or after 1 January
2023"
Amendments to IAS 8 - Definition of Accounting Estimates,"Annual periods beginning on or after 1 January
2023"
"Amendments to IAS 12 - Deferred Tax related to Assets and Liabilities
arising from a Single Transaction","Annual periods beginning on or after 1 January
2023"
