Carrying,No stated,"Contractual cash flows
(undiscounted)",Column,Column
amount,maturity,0-1 years,1-5 years,>5 years
"11,227,931",,"2,560,016",,"14,428,341"
"487,923",,"64,832",,"113,250"
"2,066,252",,-,,-
"493,345",,"64,371",,"617,178"
"202,231",,-,,-
"3,351,617",,-,,-
"42,624",,-,,-
"178,653",,-,,-
"276,883",,-,,-
"707,417",,"136,164",,"196,174"
"4,257,349",,"4,257,349",,-
"23,292,225",,"7,082,732",,"15,354,943"
"414,107",,-,,-
"466,828",,-,,-
"880,935",,-,,-
"2,177,401",,-,,-
"5,441,437",,-,,-
"7,618,838",,-,,-
"14,792,452",,"7,082,732",,"15,354,943"
