"Share
capital","Revaluation
reserve","Fair value
reserve","Translation
reserve","Statutory
reserve","Retained
earnings"
Sh’000’,Sh’000’,Sh’000’,Sh’000’,Sh’000’,Sh’000’
"6,999,491","26,308","(965,598)","4,476,274","8,584,946","29,053,364"
-,-,-,-,"1,791,207","2,645,945"
-,"10,603","856,095","(2,980,303)",-,"14,067"
-,"10,603","856,095","(2,980,303)",-,"14,067"
-,-,-,-,-,"(839,939)"
"6,999,491",-,-,-,-,"(6,999,491)"
"13,998,982","36,911","(109,503)","1,495,970","10,376,154","23,873,946"
"13,998,982","36,911","(109,503)","1,495,970","10,376,154","23,873,946"
-,-,-,-,"414,848","3,508,746"
-,993,"1,124,837","594,585",-,"37,749"
-,993,"1,124,837","594,585","414,848","3,546,495"
-,-,-,-,-,"(839,936)"
"13,998,982","37,904","1,015,334","2,090,555","10,791,002","26,580,505"
