Unaudited,Unaudited,Unaudited
"Short term
Business","Long term
Business",Total
2022,2022,2022
KShs ’000,KShs ’000,KShs ’000
"6,499,491","500,000","6,999,491"
"28,992",-,"28,992"
"(601,395)","(74,333)","(675,728)"
"744,887",-,"744,887"
-,"7,530,030","7,530,030"
"22,571,520",-,"22,571,520"
"29,243,494","7,955,698","37,199,191"
-,,
"34,104",-,"34,104"
"14,685","90,325","105,010"
"734,244",-,"734,244"
"10,628,718","1,782,393","12,411,111"
"6,770,334",-,"6,770,334"
"2,630,947",-,"2,630,947"
"194,248",-,"194,248"
"45,313",-,"45,313"
"1,477,926","671,994","2,149,920"
"446,239",-,"446,239"
"52,302",-,"52,302"
"711,460",-,"711,460"
"812,230","208,302","1,020,532"
