"Short term3
Business
2022
KShs ’000",Column,"Total
2022
KShs ’000",Column,"Restated
Total
1.1.2021
KShs ’000"
,"500,000
-
(80,061)
-
8,145,000
-",,"6,999,491
28,992
(492,965)
821,958
7,433,393
22,304,615",
"6,499,491",,"6,999,491",,"6,999,491"
"33,697",,"33,697",,"20,468"
"(645,952)",,"(726,013)",,"(560,270)"
"1,347,425",,"1,347,425",,"690,498"
-,,"8,145,000",,"6,237,682"
"24,972,103",,"24,972,103",,"20,878,472"
"32,206,764","8,564,939","40,771,703","37,095,484","34,266,341"
,"-
35,751
1,755,775
-
-
-
-
557,698
448,546
-
138,300
82,222
177,878
6,579,364
-
4,186,346
66,000
-",,"68,256
112,803
12,250,000
6,770,334
194,248
790,455
45,329
2,065,570
-
418,173
979,601
570,299
1,202,463
18,551,024
18,505
10,566,834
1,029,913
-",
"93,426",,"93,426",,"92,729"
"21,912",,"57,663",,"297,764"
"10,649,225",,"12,405,000",,"12,175,000"
"7,823,043",,"7,823,043",,"5,761,432"
"201,623",,"201,623",,"209,674"
"750,212",,"750,212",,"776,835"
"45,329",,"45,329",,-
"1,584,575",,"2,142,273",,"7,347,292"
"7,968,485",,"8,417,031",,-
"424,861",,"424,861",,"153,294"
"1,301,433",,"1,439,733",,"737,689"
"437,655",,"519,877",,"493,185"
"976,193",,"1,154,071",,"1,186,121"
"13,353,705",,"19,933,069",,"17,258,062"
"20,345",,"20,345",,"14,265"
"8,171,395",,"12,357,741",,"8,306,552"
"822,316",,"888,316",,"2,453,326"
"1,452,394",,"1,452,394",,-
"56,098,127","14,027,880","70,126,007","55,633,807","57,263,220"
,"1,309,997
-
175,806
341,315
3,160,311
-
-
-
475,510",,"1,262,731
9,915,675
1,306,359
-
1,568,916
49,000
84,980
682,305
3,668,357",
-,,"1,309,997",,"2,721,542"
"10,273,510",,"10,273,510",,"9,340,902"
"1,542,390",,"1,718,196",,"5,815,974"
"6,602,888",,"6,944,203",,-
-,,"3,160,311",,"1,281,527"
"19,578",,"19,578",,"175,911"
"39,276",,"39,276",,"99,965"
"626,306",,"626,306",,"709,728"
"4,787,417",,"5,262,927",,"2,851,330"
"23,891,365","5,462,939","29,354,304","18,538,323","22,996,879"
"32,206,762","8,564,941","40,771,703","37,095,484","34,266,341"
