CONSOLIDATED STATEMENT OF FINANCIAL POSITION AS AT 30TH JUNE 2024,Unaudited,Audited
,2024,2023
,Total,Total
,KSh ’000,KSh ’000
,"104,502","121,839"
,"12,724,585","12,702,500"
,"29,964","33,918"
,"44,511","44,511"
,"10,407,449","10,407,449"
,"41,694","41,235"
,"854,474","871,472"
,"362,097","355,505"
,"1,150,259","1,041,400"
,"44,763","44,747"
,"24,828,703","21,049,100"
,"1,103,285","731,500"
,"327,891","61,778"
,"20,787","17,981"
,"614,710","360,452"
,"13,145","6,140"
,"12,087,940","16,837,492"
,"916,801","1,248,996"
,"65,677,560","65,978,015"
,"6,999,491","6,999,491"
,"26,308","26,308"
,"9,027,463","8,584,946"
,"30,206,400","29,053,364"
,"(853,984)","(965,598)"
