2023,2022,2021
KShs ‘000,Restated,Restated
,KShs ‘000,KShs ‘000
"41,235","57,663","112,803"
"12,702,500","12,405,000","12,250,000"
"731,500","707,840","860,688"
"10,407,449","8,043,274","6,770,334"
"21,049,100","19,877,447","18,519,806"
"1,041,400","1,154,071","1,202,463"
"355,505","307,966","401,800"
"44,747","44,747","44,933"
"871,472","816,944","843,847"
"33,918","100,859","54,990"
"44,511",-,-
"121,839","91,808","63,947"
"17,981","21,616","19,734"
"61,778","88,831","104,007"
"16,837,492","12,453,637","10,594,549"
"1,248,996","849,961","972,970"
"366,592","430,079","452,865"
"65,978,015","57,451,743","53,269,736"
"6,999,491","6,999,491","6,999,491"
"26,308","33,697","28,992"
"8,584,946","8,139,745","7,431,476"
"29,053,364","25,007,516","22,441,743"
"(965,598)","(619,671)","(285,413)"
"4,476,274","1,431,996","730,426"
"48,174,785","40,992,774","37,346,715"
"14,024,143","13,667,504","13,478,457"
"2,484",-,-
"2,037,836","1,691,245","1,552,243"
"966,143","709,735","703,828"
-,"19,578","49,000"
"772,624","370,907","139,493"
"17,803,230","16,458,969","15,923,021"
"48,174,785","40,992,774","37,346,715"
