Total,Total
2017,2016
Ksh ’000,Ksh ’000
"1,749,873","1,749,873"
"15,317","3,795"
"378,812","255,837"
"328,338","371,547"
"3,885,371","3,496,869"
"21,008,791","18,226,843"
"27,366,502","24,104,764"
"56,962","79,866"
"536,122","328,858"
"658,423","707,417"
"9,622,000","8,903,000"
"4,399,320","3,907,825"
"187,782","187,782"
-,"14,334"
"202,231","202,231"
"482,696","487,923"
"3,988,095","3,351,617"
"184,420","276,883"
"63,438","42,624"
"228,918","184,733"
"95,850",-
"2,107,855","2,066,252"
"14,562,840","11,721,276"
"19,897","42,908"
"1,318,322","1,240,471"
"23,000","28,098"
"3,092,508","3,951,416"
"153,247","305,933"
"41,983,926","38,031,447"
"2,392,423","2,177,401"
"5,319,405","5,441,537"
"480,676","414,107"
"25,226",-
"944,987","902,758"
"61,380",
"612,005","479,460"
-,"213,362"
"4,781,322","4,298,058"
"14,617,424","13,926,683"
"27,366,502","24,104,764"
