Column,"4,586,308
(968,333)",Column
"854,614",,"4,267,552"
"(143,007)",,"(1,112,249)"
,"3,617,975
70,126,007
70,126,007
29,354,304
-",
"711,607",,"3,155,304"
"14,027,880",,"55,633,807"
"14,027,880",,"55,633,807"
"5,462,939",,"18,538,324"
-,,-
,"29,354,304",
"5,462,939",,"18,538,324"
,"257,051
(35,353)
(102,268)
60,523
47,128
551,107
Total
2022
KShs’000
3,957,605
(941,205)",
"32,850",,"136,630"
"(3,227)",,"30,155"
"(92,933)",,"189,004"
-,,"68,256"
"4,302",,"(184,961)"
-,,"404,714"
Life,,
Assurance,,Total
Business,,2021
KShs’000,,KShs’000
"862,234",,"4,066,345"
"(139,001)",,"(1,047,094)"
,"3,016,400",
"723,234",,"3,019,251"
,"66,576,798
(104,168)
(2,761,398)",
"13,969,988",,"52,975,447"
-,,"(55,558)"
-,,"(2,630,947)"
,"63,711,233",
"13,969,988",,"50,288,942"
