KES Mn,Column,"Sept
2017","Sept
2016",Change
Sidian Bank,,,,
,Interest Income,924,"1,643",(44%)
,"Fees, Forex and Other Income",307,339,(9%)
Total Income,,"1,230","1,981",(38%)
Interest Expense,,(405),(591),(31%)
Provisions,,(261),(177),48%
Asset Management Business,,,,
,Fund Management Income,293,349,(16%)
,Interest Income,29,81,(65%)
