KES million,Mar ‘21,Mar ‘20
Opening cash and cash equivalents,"1,875",144
Net cash from operations,"4,536","19,083"
Net cash used in investing activities,"(2,067)","(4,800)"
Cash used in financing activities,"(4,493)","(12,552)"
Closing cash and cash equivalents,(149),"1,875"
Made up of:-,,
Cash and cash equivalents,867,"2,912"
Overdraft,"(1,016)","(1,037)"
Closing cash and cash equivalents,(149),"1,875"
