Agenda,Vote,Total Votes,"As a percentage of
total votes cast"
"Directors’ remuneration
report",For,"383,555,587",98%
,Against,"25,637",0%
,Withheld,"6,102,759",2%
Total votes cast,,"389,683,983",100%
