Column,Strategic Objective,Progress
1.,"Scaling up assets
under management","Assets under management increased by 56% in the year to March 31, 2010. This was largely funded
by organic growth and reinvestment of internally generated funds. Drivers of growth going forward
will be:
• Organic growth of the portfolio spurred by a more active portfolio management;
• Reinvestment of internally generated funds and debt in our three business lines;
• Mobilization of third party funds."
2.,"Deliver market
beating returns","In the year to March 31, 2010 we delivered a return of 56% which was 13% above the NSE index."
3.,"Focused management
of assets","We have completed the reorganization of the company into three segments - Private Equity, Quoted
Private Equity and Real Estate and Infrastructure."
4.,"Geographical
diversification","We are in the process of investing within the East African region and have begun active investing in
the West African stock markets."
5.,"Active portfolio
management","We have completed a rigorous appraisal of our investment portfolio and developed different value
optimizing strategies that we are in the process of implementing. We completed our first major exit
in the financial year that ended March 31, 2010. We expect to have a number of exits and
consolidations in the current year."
6.,"Strengthen internal
process and capacity","We have put together a very strong management team, with a diverse set of skills and that is very
experienced in their areas of specialization.
We have also gone through a comprehensive process of reviewing and updating all our processes
and have engaged KPMG Kenya as internal auditors to review compliance."
7.,"Proactive brand
development","To position Centum as Africa’s foremost investment channel we continue to align our internal
processes, people, communication and identity to the brand."
