"1,321 units","1,698 units","1,407 units","4,426 units"
428 units,500 units,514 units,"1,442 units"
"FY19: 201 units (47%)
FY20: 344 units (81%)","FY19: 56 units (11%)
FY20: 198 units (40%)","FY19: 325 units (63%)
FY20: 457 units (88%)","FY19: 582 units
(40%)
FY20: 999 units
(70%)"
Ksh 2.74 billion,Ksh 2.96 billion,Ksh 2.12 billion,Ksh 7.82 billion
Nil,Nil,Nil,"Nil
Projects fully funded
from internally
generated funds"
