"24,165,074","11,826,150"
"(5,365,147)
(4,573,337)
(1,351,725)
(3,076,286)","(22,881)
(1,778,925)
(656,550)
(998,345)"
"(14,366,495)
1,074,114","(3,456,701)
447,710"
"10,872,693
(925,063)","8,817,159
(874,727)"
"9,947,630","7,942,432"
"7,816,035
2,131,595","6,953,268
989,164"
"9,947,630","7,942,432"
11.75,10.45
