"Project
name","Type of
Project","Location/
Node",Developer,Category,Status,"Expected
completion
Date","Cost
Ksh’000"
Cascadia,Apartments,Two Rivers,"Uhuru Heights
Limited",Mid-market,"Under
construction",31-Dec-25,"2,607,658"
Riverbank,Apartments,Two Rivers,"Centum Real
Estate Limited",High end,Completed,February 2022,"134,386"
Loft,Duplexes,Two Rivers,,High end,"Under
construction","Phase 1
December 2022","1,174,192"
,,,,,,"Phase 2 August
2024","6,676"
,,,,,,30 April 2025,"338,154"
Elmer One,Apartments,Kasarani,"Centum
Development
Kenya Limited",Affordable,"Under
construction",30 April 2025,"1,290,847"
"26 Mizizi
Court
Residences",Apartments,Two Rivers,"Centum
Development
Kenya Limited",Affordable,"Under
construction",October 2020,"20,024"
"Awali
Estate","Maisonettes/
Bungalows","Vipingo,
Kilifi","Vipingo
Development
Plc",Mid-market,Completed,"Phase 1A-
July 2021","86,568"
"1255
Palmridge",Apartments,"Vipingo,
Kilifi",,Affordable,"1A -
Completed",1B-July 2022,"980,178"
,,,,,"1B - Under
construction",February 2022,
Bella Vista,Apartments,Entebbe,"Pearl Marina
Estates
Limited",Affordable,Completed,February 2021,"93,469"
Mirabella,Villas,Entebbe,,High end,Completed,"31 January
2025","243,262"
Riviera,Villas,Entebbe,,Mid-market,"Under
construction","31 January
2026","214,555"
La Perla,Bungalows,Entebbe,,Mid-market,Completed,31 March 2025,"924,214"
Kingswood,Villas,Entebbe,,Mid-market,"Under
construction",,-
,,,,,,,"8,114,183"
