Standards/Interpretation,Effective date
Lease liability in a sale and leaseback - Amendments to IFRS 16,01-Jan-24
"Amendments to IAS 1 - Classification of Liabilities as Current or Non-current Liabilities
with covenants",01-Jan-24
"Amendments to IAS 7 Statement of Cash Flows and IFRS 7 Supplier Finance
Arrangements",01-Jan-24
