PORTFOLIO,"RISK
CATEGORY",RISK DESCRIPTION,"IMPACT
AREA","RISK MANAGEMENT AND
MITIGATION"
Real Estate,"Market
Uptake Risk","Risk of less-than-expected
sale of developed units.",Return,"Achieving 30% presales before ground-
breaking on projects with continuous sales
during construction, with a target sales
completion at 24 months from ground-
breaking.
Partnering with financial institutions that
offer mortgage financing to expand client
pools."
,"Project
Funding Risk","The risk that there will be
inadequate funds for the
construction phase of
projects.",Return,"Market validation before the start of the
projects, as well as securing both debt and
equity funding before and after ground-
breaking."
,Liquidity Risk,"Risk of inability to meet
obligations as they fall due
or incurring higher than
budgeted finance costs
in settling outstanding
obligations.",Return,"Enhancing sources of liquidity by
improving on rate and value of customer
deposits collected.
Share of profits from completed projects is
utilised in the new and existing projects."
Private Equity,"Investment
Risk","The risk that an
investment’s actual
value reduces against
the expected value uplift
projected, informing its
investment.","Net Asset
Value (NAV)","Thorough screening of investments
at the onset, with continuous portfolio
monitoring leveraging our legacy expertise
to increase value in our investees."
,Exit Risk,"The risk of lower
realisations from exits due
to unfavourable industry/
private equity market
dynamics or a lack of
credible investors.","Cash
Returns","Maintaining multiple potential exit
relationships."
"Marketable
Securities
Portfolio
(MSP)",Return Risk,"The risk of the portfolio
achieving less than
expected returns.","Cash
Returns","Disciplined portfolio allocation guided
by adherence to the Investment Policy
Statement, with an affinity for instruments
with good credit ratings and sound liquidity
profiles."
