Kes m,Company,Adjustment,Group
Portfolio Value,"14,463",,"14,463"
Share of Associates book value,,"3,377","3,377"
Fair Value of Associates,,"(6,231)","(6,231)"
Net assets,77,,77
Borrowings,"(1,988)",,"(1,988)"
Dividend receivable from Associates,,(139),(139)
Net Asset Value,"12,552","(1,301)","9,559"
