Kshs. m,Sep’ 09,Mar’ 09,Sep’ 08
Equity Portfolio,"7,149","6,404","7,959"
Other Net Liabilities,(26),82,376
,"7,123","6,486","8,335"
Equity,"6,635","6,316","8,135"
Net Borrowings,488,170,200
,"7,123","6,486","8,335"
Gearing,7%,2.7%,2.5%
NAV per share (Kshs.),12.06,11.48,14.79
