"Assets and liabilities
classified as held for sale",Valuation technique
Plant and equipment,"The fair value of the plant and equipment is based on the depreciated
replacement cost. Depreciated replacement cost reflects adjustments for physical
deterioration as well as functional and economic obsolescence."
Intangible assets,"The fair value of the intangible assets is based on the depreciated replacement
cost. Depreciated replacement cost reflects adjustments for physical
deterioration as well as functional and economic obsolescence."
"Receivables, prepayments
and other assets","The fair value of receivables, prepayments and other assets is estimated using the
carrying amount since the amounts are receivable on demand as at the reporting
date."
Loans and advances,"The loans and advances comprise gross contractual amounts due of Ksh
23,314,597,000 of which Ksh 3,189,274,000 was carried as non-performing loans."
"Government securities and
corporate bonds","Government securities with observable market prices are fair valued using that
information. Corporate bonds that do not have observable market data are fair
valued either using discounted cash flow method or quoted market prices for
securities with similar yield characteristics."
Cash and bank balances,"The fair value of cash and bank balances is estimated using the carrying amount
since the amounts are receivable on demand as at the reporting date."
"Payables and accrued
expenses","The fair value of payables and accrued expenses is estimated using the carrying
amount since the amounts are payable on demand as at the reporting date."
Customer deposits,"The fair value of customer deposits are the amounts payable on demand at the
reporting date."
Lease liabilities,The fair value of lease liabilities are the carrying amounts at the reporting date.
Borrowings,The fair value of borrowings are the carrying amounts at the reporting date.
