Bonus Calendar of Events:,Column
22 Jul 11,Book Closure
23 Sep 11,Shareholder Approval
28 Sep 11,Crediting to respective CDS accounts
29 Sep 11,Listing and Commencement of trading of bonus shares at the NSE
30 Sep 11,Dispatch bonus share certificates by registered mail
,NOTE: The announcement above is subject to the approval by the Regulators
