"995,313","480,000",At fair value through profit or loss,"105,560","480,000"
"1,762,594","358,789",loans and receivables,"7,024,180","3,577,464"
"7,039,093","3,093,515",Available for sale,"14,277,901","11,630,421"
"9,797,000","3,932,304",,"21,407,641","15,687,885"
,,Fair value through profit or loss,,
"995,313","480,000",Corporate bonds,"105,560","480,000"
,,loans and receivables:,,
"260,825","36,079",Receivables,"123,796","155,344"
"902,500","310,000",Deposits,"902,500","310,000"
"599,269","12,710",Cash and cash equivalents,"28,396","7,340"
-,-,Due from subsidiary Companies,"5,969,488","3,104,780"
"1,762,594","358,789",,"7,024,180","3,577,464"
,,Available for sale:,,
-,-,investment in subsidiaries,"3,442,759","1,784,954"
-,-,investment in associates,"6,152,947","7,128,721"
"4,306,221","1,427,206",unquoted investments,"3,593,417","1,427,206"
"2,732,872","1,666,309",Quoted investments,"1,088,778","1,289,540"
"7,039,093","3,093,515",,"14,277,901","11,630,421"
