Achieved a return of 23% as compared to NSE 20 Share Index return of -24%,Column,Column,Column
KES million,FY 2016,FY 2015,Variance
Dividend Income,"2,671","1,318",103%
Interest Income,676,77,778%
Other Income,7,(40),-118%
Realised Gain,989,"5,326",-81%
Gross Return,"4,343","6,681",-35%
Portfolio Costs,(877),(867),1%
Finance Costs,"(1,510)",(669),126%
Tax,(87),(278),-69%
Profit After Tax,"1,869","4,867",-62%
Unrealised Gains,"5,812","5,018",16%
Deferred Tax,(306),(882),-65%
Total Return,"7,375","9,003",-18%
Opening NAV,"31,939","22,936",
Total Return %,23%,39%,
