Column,Ftes1,Key qualifications,"Cum. ex-
perience"
Ceo,1,"- llB, CFA
- CPA (K), CiMA & lsK",13 years
"Private
equity",5,"- MBA , BCom (2), BsC eng
(2), Meng (1),
- CFA(2), CPs K (1), CPAK (3)",>30 years
"Quoted
Private
equity",5,"- BCom(1), Actuarial science
(3), BA(1)
- CPA (2) , CFA level ii &
iii(3), ACCA(1), Certificate in
dealing (1)",>25 years
"Real
estate &
infra-
structure",10,"- Msc in Property investment
and Management(1)
- Msc in Facilities
Management (1)
- MBA (1), llB (1)
- BsC Civil engineering (3),
BA(2)
- Certified Project
Management Professional
(3), CPAK (1), CAiA(1), - CFA
(1), CiH&t (1)",>50 years
"shared
services2",13,"- MBA (2), llB(2), BCom(3),
Bsc Actuarial science(1),
Bsc Computer science (2),
BA (2)
- FCCA(1), CPAK(5), CPsK (2),
CFA (K) (1), CiMA (1), iHRM",>30 years
