Zones,Size/Units
"Retail, Entertainment & Lifestyle","45,000 sq.m"
Premium Office Space above retail,"12,200 sq.m"
Luxury Serviced Apartments,84 Units
Office park,"20,000 sq.m"
Long and short stay apartments,132 Units
5 Star Hotel,200+ Rooms
3 Star Hotel,160+ Rooms
"Public Square, piazza and waterfront","3,037 sq.m plus 0.82 KM of river front"
