Column,PRINCIPLE,PROGRESS
"sthgiR
namuH","Principle 1: Businesses should
support and respect the
protection of internationally
proclaimed human rights and
Principle 2: Businesses
should ensure that they are
not complicit in human rights
abuses.","• We uphold the human rights of our employees and contractors and also require
our portfolio companies to uphold the rights of employees and people in their
supply chains.
• Centum’s Responsible Investing ESG Policy requires investee firms to respect
human rights, including equitable treatment across the supply chain and fair
customer treatment
• Centum conducts due diligence and uses ethical investment frameworks to
avoid harmful investments or partnerships."
ruobaL,"Principle 3: Businesses
should uphold the freedom of
association and the effective
recognition of the right to
collective bargaining.","• One of the minimum criteria for our portfolio companies is that they treat
employees fairly, uphold their freedom of association, and collective bargaining.
To date, Centum has no reported violations of human rights."
,"Principle 4: Businesses
should uphold the elimination
of all forms of forced and
compulsory labour.","• Forced labour remains a global challenge manifesting through coercion into
employment, including measures to prevent and combat any form of forced or
compulsory labour across the business operations and portfolio."
