"2009
Sh’000",Column,"2009
Sh’000"
"274,976","274,976","274,976"
"589,753","589,753","589,753"
"1,871,941","3,699,739","1,038,357"
"3,579,363","3,513,661","2,170,574"
"6,316,033","8,078,129","4,073,660"
"169,981",-,"169,981"
"(10,131 )",-,"(10,101 )"
"159,850",-,"159,880"
2.5%,-,3.9%
