Group,Column
2019,2018
Ksh’000,Ksh’000
"4,438,846","3,146,650"
-,"201,264"
"4,438,846","3,347,914"
"3,479,956","2,573,682"
"1,421,255","1,444,507"
"135,461","130,904"
"(1,553,749)","(786,219)"
"(7,464,105)","(4,181,985)"
"(139,104)","(228,506)"
"(2,494)","1,051"
"1,965,538",-
"1,702,835","(457,920)"
"(279,000)","(236,978)"
"793,241",-
-,-
"(454,431)","(66,519)"
"(745,220)","(1,690,453)"
"117,784","(253,628)"
-,"8,634"
"(41,843)","2,947"
"(14,384)","(21,221)"
"(1,416,405)","861,287"
"1,984,289","3,033,646"
"3,928,472","3,481,143"
