"Land Conversion
(Value Creation)","Pearl
Marina"
Total Gross acreage,389.00
Phase 1 Land,165.98
"Parks, roads, reserves, common area
spaces",50.87
Developable land,115.12
Fully serviced - co developed or sold,2.34
"Fully serviced land available for
development",27.58
"Partially Serviced land available for
development",85.20
