KES Mn,HY 2017,FY 2016
Total Borrowings by the Company,"13,967","10,475"
Less: Cash and Cash Equivalents,"(2,097)","(3,916)"
Net Company Debt,"11,869","6,559"
Total Equity,"40,669","39,314"
Gearing,29%,17%
