Kshs m 2010 2009,Column,Column
PE performance for the year ended 31 March 2010,,
Portfolio income,429,228
Unrealised value movements,"1,886","(1,687 )"
Gross return,"2,315","(1,459 )"
Total return,"2,168","(1,823 )"
Gross return (%),65.3%,(24.8% )
Total return (%),61.1%,(30.9% )
Closing portfolio value,"5,491","3,588"
