Number,Effective date,Executive summary
"Amendments to IFRS 9
‘Financial Instruments’,
IAS 39 ‘Financial
Instruments: Recognition
and Measurement’, IFRS
7 ‘Financial Instruments:
Disclosures’, IFRS 4
‘Insurance Contracts’ and
IFRS 16 ‘Leases’ – interest
rate benchmark (IBOR)
reform (Phase 2)","Annual periods beginning on or after
1 January 2021
(Published August 2020)","The Phase 2 amendments address issues that arise
from the implementation of the reform of an interest
rate benchmark, including the replacement of one
benchmark with an alternative one."
"IFRS 16, ‘Leases’
COVID-19-Related Rent
Concessions Amendment","Annual periods beginning on or after
1 June 2020
(early adoption is permitted)
(Published June 2020)","The IASB has provided lessees (but not lessors)
with relief in the form of an optional exemption
from assessing whether a rent concession related to
COVID-19 is a lease modification, provided that the
concession meets certain conditions. Lessees can elect
to account for qualifying rent concessions in the same
way as they would if they were not lease modifications.
In many cases, this will result in accounting for the
concession as a variable lease payment."
"Amendment to IAS
1 ‘Presentation of
Financial Statements’ on
Classification of Liabilities
as Current or Non-current
Amendments to IFRS 9
‘Financial Instruments’,
IAS 39 ‘Financial
Instruments: Recognition
and Measurement’, IFRS
7 ‘Financial Instruments:
Disclosures’, IFRS 4
‘Insurance Contracts’ and
IFRS 16 ‘Leases’ – interest
rate benchmark (IBOR)
reform (Phase 2)","Annual periods beginning on or after
1 January 2022
(Published January 2020)
Annual periods beginning on or after
1 January 2021
(Published August 2020)","The amendment clarifies that liabilities are classified as
either current or non-current, depending on the rights
that exist at the end of the reporting period.
Classification is unaffected by expectations of the
entity or events after the reporting date (for example,
the receipt of a waiver or a breach of covenant).
The Phase 2 amendments address issues that arise
from the implementation of the reform of an interest
rate benchmark, including the replacement of one
benchmark with an alternative one."
"IFRS 16, ‘Leases’
COVID-19-Related Rent
Concessions Amendment
Amendment to IAS
1 ‘Presentation of
Financial Statements’ on
Classification of Liabilities
as Current or Non-current","Annual periods beginning on or after
1 June 2020
(early adoption is permitted)
(Published June 2020)
Annual periods beginning on or after
1 January 2022
(Published January 2020)","The IASB has provided lessees (but not lessors)
with relief in the form of an optional exemption
from assessing whether a rent concession related to
COVID-19 is a lease modification, provided that the
concession meets certain conditions. Lessees can elect
to account for qualifying rent concessions in the same
way as they would if they were not lease modifications.
In many cases, this will result in accounting for the
concession as a variable lease payment.
The amendment clarifies that liabilities are classified
as either current or non-current, depending on the
rights that exist at the end of the reporting period.
Classification is unaffected by expectations of the
entity or events after the reporting date (for example,
the receipt of a waiver or a breach of covenant)."
