Type,Nature,Description,Recognition
"Sale of
goods",Beverages,"Beverage sales relate to sales by Almasi
Beverages Limited and King Beverages Limited
who deal in soft drinks, Coca Cola drinks and
Alcoholic beverages respectively.","Revenues from the various sources are
recognised in the period in which the company
has delivered products to the customer, the
customer has full discretion over the channel
and price to sell the products, and there is
no unfulfilled obligation that could affect the
customers’ acceptance of the products. Delivery
does not occur until the products have been
accepted by the customer."
,"Educational
materials","Sale of educational material is through
Longhorn Publishers Limited.",
,"Agricultural
products","The Group exports exotic herbs through
Greenblade Growers Limited.",
