Column,2022,2021
Staff Name,Total Shares,Total Shares
James M. Mworia,"5,674,594","5,674,594"
Fredrick Murimi Ngari,"690,700","690,700"
Risper Alaro,"435,300","435,300"
Thomas Omondi,"117,500","117,500"
