"2021
Ksh’000
1,516,870","2020
Ksh’000
3,694,506"
"(669,082)
(602,867)","(894,691)
(1,814,660)"
"244,921","985,155"
"(1,071,393)","(3,580,252)"
"(826,472)
219,871","(2,595,097)
(796,591)"
"(606,601)","(3,391,688)"
"(3,978,028)
(541,255)
80,108
227,056","(2,161,160)
292,750
(29,992)
927,747"
"(4,212,119)","(970,655)"
"(4,818,720)","(4,362,343)"
