Column,Company,Group
Income Statement,,
Dividend income from Associates,P,X
Share of Associate profits,X,P
Other Comprehensive Income,,
Fair value movement in Associates,P,X
Share of Associate equity movement,X,P
Statement of financial position,,
Associates held at fair value,P,X
Associates held at book value (NAV),X,P
