"Job Muriuki, Investment Officer",Column
Experience,"• Over 4 years international experience
• Joined Centum in 2010 from Marakon Consulting UK"
Transactions,"• Acquisitions: Bottler Consolidation1
• Listing: Longhorn Listing"
Investee Boards,"• Rift Valley Bottlers, Longhorn Publishers"
Qualifications,"• BA, MA & MEng - University of Cambridge, CFA level III candidate"
