"(1,641,885)","(2,332,211)","61,321","(826,472)"
"(492,566)
(155,495)
(714,559)
1,130,777
(4,994)
3,057
(68,296)","(699,663)
(41,553)
(630,140)
947,099
(351,130)
(188,908)
-","18,396
(27,394)
-
90,958
-
-
-","(247,942)
(41,553)
-
328,061
(69,529)
(188,908)
-"
"(302,076)","(964,295)","81,960","(219,871)"
"(16,647)","(1,170,433)",-,"(231,763)"
"(4,994)","(351,130)",-,"(69,529)"
