Column,Column,tnemtsevnI eettimmoC,"eettimmoC
tiduA","&snoitanimoN
ecnanrevoG eettimmoC",gnidnarB eettimmoC,egdelwonK eettimmoC
Non-executive,Chairman,√,,√,,
Executive,Managing Director,√,,,√,√
Non-executive,Alternate to ICDC,√,,√,,
"Independent
non-executive","Chairman
Audit Committee",√,√,,√,√
"Independent
non executive","Chairman
Branding Committee",,√,√,√,
Non executive,Director,√,,√,√,
Non executive,"Chairman Investment
Committee",√,√,,√,
"Independent
non executive","Chairman
Nomination &
Governance
Committee",,√,√,√,√
"Non-executive
Director","Alternate to the
PS Ministry of Trade",,√,,,√
