"29,895,513 4.49% 20","15,870,991 2.39% 20"
"1,202,855 0.18% 149","1,140,103 0.17% 146"
"322,395,009 48.45% 1,717","326,514,725 49.07% 1,810"
"311,948,337 46.88% 34,415","321,915,895 48.38% 35,121"
"665,441,714 100.00% 36,301","665,441,714 100.00% 37,097"
